Term,Type,Synonyms,Definition,Generated Definition
payment type,Property,,"'A classification of the type of fee or additional payment, e.g. brokerage, upfront fee etc. FpML does not define domain values for this element.'",A property that is used by the class forward cash delivery.
payments missed in past six months  (please review),Property,,History of payments missed on previous mortgage in the prior 0-6 months (information as at underwriting).,A property that is used by the class arrears payment history (please review).
pays,Property,,,A property that is used by the class ordinary share.
pays variable coupon,Property,,"Whether the interest payable on the Inflation Bond is variable with reference to the Factor. If Yes, then the terms include an Inflation Bond Variable Coupon. If No, then the terms may be any coupon or set of coupons, by inheritance of this fact from the parent class of Bond Coupon Terms Set.",A property that is used by the class inflation bond interest payment terms set.
pegged to inflation rate,Property,,Whether the principal repayment is made with reference to the inflation rate via the Inflation Rate Factor calculated for the bond.,A property that is used by the class inflation bond principal repayment terms set.
penalty interest applied to  (please review),Property,,The balance to which the penalty interest is to be applied.,A property that is used by the class loan ongoing prepayment terms.
percentage,Property,,The percentage of the basket which this constituent makes up.,A property that is used by the class equities basket share constituent.
percentage advanced  (please review),Property,,The percentage of the purchase price advanced as the loan.,A property that is used by the class marine finance (please review).
percentage invested,Property,,The percentage of funds that is to be invested at any given time.,A property that is used by the class fund investment restrictions set.
percentage of defaults this tranche,Property,,"The percentage of defaults which holders of this are exposed to, that is the percentage of defaults that this tranche represents. Further Notes Review session notes 21 April: The first, second and so on, to stop paying out when there is a default. In each case you get the first, second etc. x% of defaults. Base underlying may be high or low quality. Create the pool by buying or selling protection depending on hich way you want to go, e..g. have high quality funds, (borrowers), would sell protection. If low quality, would buy protection to improve quality. So risk is no longer bound to the funding. REVIEW: More likely this is a band of percentages (from and to); review and formalize. See also note on attachment and detachment points.",A property that is used by the class synthetic c d o tranche.
percentage of notional,Property,,The amount of premium to be paid expressed as a percentage of the notional value of the transaction.,A property that is used by the class premium percentage of notional expression.
percentage probability,Property,,,A property that is used by the class probability.
percentageRelativeTo,Property,,,A property that can be used by any class.
performance determination timeframe,Property,,"The timeframe on which the performance is reported (e.g. 1month, 1 year, YTD).",A property that is used by the class performance determination method.
performance fee,Property,,Fees paid for the achivements of predefined outperformance objectives Definition origin:EFAMA DD,A property that is used by the class fund subscription terms.
period,Property,,"The duration of the repurchase agreement, where there is one.",A property that is used by the class repurchase agreement.
periodic amortization amount,Property,,The monetary amount of each amortization payment in the Amortization Schedule.,A property that is used by the class bond amortization payment terms.
perpetual,Property,,"Signifies that there is NO set term involved. It pays its stated dividend forever or 'in perpetuity'. For a fixed-rate a set dividend upon issue is agreed to, usually declared and paid quarterly (fixed dollar or a percent of the par value). For a floating-rate provide for a dividend that is paid by reference to a market interest rate.",A property that is used by the class preference share.
perpetual maturity,Property,,"Whether this is a perpetual warrant, in other words it has no expiry date.",A property that is used by the class warrant.
perpetual maturity,Property,,"Whether the debt security has perpetual maturity, i.e. there is no Maturity Date and the security remains in issue indefinitely or until recalled.",A property that is used by the class tradable debt security redemption terms set.
pertains to,Property,,,A property that is used by the class credit event.
pertains to by reference,Property,,,A property specializing pertains to that is used by the class c d s credit event.
physical address component identified by,Property,,,"A property that is used by the class post box, country, geophysical location, or built property and has the inverse identifies physical address component."
physical asset takes form,Property,,The individual thing which itself makes up the Asset.,A property that is used by the class physical asset.
physical document required,Property,,Whether a phsyical form is required through the main fund order desk. Yes: A phsyical form is required through the main fund order desk. No: A phsyical form is not required through the main fund order desk.,A property that is used by the class fund processing form.
physical settlement period,Property,,"The number of business days used in the determination of the physical settlement date. Further Notes The physical settlement date is this number of business days after all applicable conditions to settlement are satisfied. If a number of business days is not specified fallback provisions apply for determining the number of business days. If Section 8.5/8.6 of the 1999/2003 ISDA Definitions are to apply then it should be flagged that 'Business Days Not Specified'. If a specified number of business days are to apply these should be specified. If Section 8.5/8.6 of the 1999/2003 ISDA Definitions are to apply but capped at a maximum number of business days then the maximum number should be specified. ISDA 2003 Term: Physical Settlement Period Note that although this is described as a period, it is not a period of time from one date/time to another, but a duration i.e. a length of time (in business days). FpML: 'The number of business days used in the determination of the physical settlement date. The physical settlement date is this number of business days after all applicable conditions to settlement are satisfied. If a number of business days is not specified fallback provisions apply for determining the number of business days. If Section 8.5/8.6 of the 1999/2003 ISDA Definitions are to apply the businessDaysNotSpecified element should be included. If a specified number of business days are to apply these should be specified in the businessDays element. If Section 8.5/8.6 of the 1999/2003 ISDA Definitions are to apply but capped at a maximum number of business days then the maximum number should be specified in the maximumBusinessDays element. ISDA 2003 Term: Physical Settlement Period'",A property that is used by the class c d s physical settlement.
plays role,Property,,,A property that can be used by any class and has the inverse is played by.
pledged by  (please review),Property,,,A property that is used by the class loan collateral (please review).
plotted between,Property,,,A property specializing is between that is used by the class time based plot.
point in time price has value,Property,,"Is normally be expressed in basis points, although the meaning of BP implies a percentage value. Change this to BP.",A property that is used by the class debt published point in time price.
policy details,Property,,Details of the Insurance Policy which make up this Guaranty.,A property that is used by the class insurance backed guaranty.
pool has loan type,Property,,The type of loans that make up the pool.,A property that is used by the class loan pool.
pool membership selection  (please review),Property,,"Member loan Balance code indicates whether this is a 'plain' balance (1) with no pool membership change associated with it NOTE: THis is an unreviewed and unchanged Data Model term. or alternatively whether it is a balanceassociated with this mortgage (2) entering or (3) leaving the mortgage pool, or whether (4) this is a balance of a mortgage not associated with any pool Will not be in Semantic Model. Would be separate classes with a time line component.",A property that is used by the class loan balance (please review).
pool number,Property,,The Pool Number of the debt.,A property that is used by the class publicly issued debt.
postal code,Property,,,A property that is used by the class postal code.
potential default,Property,,"The condition that some potential default has occurred in respect to the other party. Further notes: Conditions precedent typically include that no potential default has occurred, so this is typically or always 'no'. Sample text (of which this term is a part): ' the condition precedent that no Event of Default or Potential Event of Default with respect to the other party has occurred and is continuing, '",A property that is used by the class o t c master agreement conditions precedent.
pre arranged payment fee  (please review),Property,,The Handling Fee that would be payable in the event of the borrower wishing to make funds available early for application on the schedule due dates (so they are not principal prepayments).,A property that is used by the class payment arrangement terms.
precedes,Property,,"relates a stage in a lifecycle, an event, or occurrence, such as a trade, to one that occurs before it",A property specializing relates to that can be used by any class and has the inverse succeeds.
precision,Property,,The number of decimal places in the price.,A property that is used by the class share price.
preference share senior to ordinary share,Property,,,A property specializing is senior to that is used by the class preference share.
preferred settlement currency  (please review),Property,,Preferred currency in which the instrument is to be settled. Securities may be settled in a currency other than this.,A property that is used by the class security settlement convention.
premium,Property,,A premium paid to the bond owner when the bond is called.,A property that is used by the class bond call terms set.
premium  (please review),Property,,A premium payable for a contract based on the index.,A property that is used by the class credit index (please review).
premium amount,Property,,,A property that is used by the class swaption premium.
prepared for,Property,,,A property that is used by the class ledger account.
prepayment penalty interest  (please review),Property,,Prepayment Penalty Interest.,A property that is used by the class loan ongoing prepayment terms.
prepayment penalty period  (please review),Property,,"Period during which penalities are incurred for partial or full principal repayment prior to loan maturity. MISMO definition: 'Information specific to calculation of penalities for partial or full principal repayment prior to loan maturity. ' There is a penalty for this as well, perhaps as a monetary amount.",A property that is used by the class loan early prepayment terms.
prepayment penalty waiver  (please review),Property,,Whether the Loan Contract includes a provision for the lender to waive the prepayment penalty at their discretion.,A property that is used by the class loan early prepayment terms.
prepayment speed value,Property,,,A property that is used by the class prepayment speed.
prepayment threshold  (please review),Property,,Percentage amount of pre-payments allowed under the product per year. This is for mortgages that allow a certain threshold of pre-payments (ie 10%) before charges are incurred.,A property that is used by the class loan ongoing prepayment terms.
price date volume,Property,,Number of units traded on the price date.,A property that is used by the class share price.
price determination convention notes,Property,,Further free text notes on the way in which the closing price is determined.,A property that is used by the class bond exchange closing price.
price determination convention notes,Property,,Further free text notes on the way in which the closing price is determined.,A property that is used by the class official closing price.
price determination method,Property,,The method by which the High Price is determined on that exchange.,A property that is used by the class exchange traded bond price.
price determination method,Property,,The method by which the High Price is determined on that exchange.,A property that is used by the class high price.
price determination method,Property,,,A property that can be used by any class.
price determination method,Property,,The method by which the closing price is defined.,A property that is used by the class official closing price.
price determination method,Property,,The method by which the Low Price is determined on that exchange.,A property that is used by the class low price.
price is traded,Property,,"The highest valuation over the period specified. Notes from Equity review, may apply to Debt also: this can be regarded as a derived price. See also note in LowPrice Difference: different rules used. May be based on trade OR quote price Analytic or Price?? this is a derived type but with a much simpler rule.",A property that is used by the class exchange traded bond price.
price per option,Property,,The amount of premium to be paid expressed as a monetary amount to be paid per option.,A property that is used by the class premium price per option expression.
price quoted ex dividend,Property,,Whether or not the yield is based on a price which is quoted ex-dividend. When a bond is said to trade ex-dividend it means that there is a period of time prior to each coupon payment during which a bond purchaser does not receive custody of the next coupon. That payment is made to the previous bond holder and accrued interest is therefore negative during the ex-dividend period.,A property that is used by the class debt instrument yield.
price source,Property,,The Price source to be used to determine the settlement price.,A property that is used by the class equity forward cash settlement.
price value,Property,,The price of the debt instrument expressed as a percentage of the par value of the instrument.,A property that is used by the class debt security price.
pricing determined by,Property,,,A property that is used by the class future instrument.
pricing source,Property,,,A property that is used by the class total return leg.
pricing speed,Property,,"The prepayment speed specified fo the TAC Tranche at the outset of the deal, in PSA.",A property that is used by the class t a c tranche.
pricing to be determined by,Property,,,A property that is used by the class standardized futures terms.
pricing to be determined by,Property,,,A property that is used by the class standardized options terms.
prime,Property,,Whether the mortage pool is identified as Prime or not.,A property that is used by the class residential m b s.
principal,Property,,,A property specializing has transaction party that is used by the class market transaction.
principal payments expected,Property,,,A property that is used by the class security cashflow status.
principal strip,Property,,Whether the STRIP instrument is a strip of the Principal of the underlying Debt Instrument.,A property that is used by the class s t r i p.
principal strip,Property,,The STRIP instrument is a strip of the Principal of the underlying Debt Instrument.,A property that is used by the class principal s t r i p.
principal strip,Property,,The STRIP instrument is not a strip of the Principal of the underlying Debt Instrument.,A property that is used by the class interest s t r i p.
priority,Property,,The Seniority of the Equity. This is the order of precedence in which holders of different classes of equity (whether through private equity or publicly issued shares) will have a call on the assets of the company in the event of it winding up.,A property that is used by the class shareholder equity.
pro rated,Property,,Whether the coupon is pro rated to the actual number of days in the payment period versus the number of payment periods.,A property that is used by the class debt security interest payment terms.
probability,Property,,,A property that is used by the class risk.
processing country,Property,,Country in which the processing characteristic applies.,A property that is used by the class fund processing terms.
processing party has identity,Property,,The organization which plays the role of the funds processing party,A property specializing has identity that is used by the class funds processing party.
produces,Property,,"identifies the product that is fabricated, manufactured or created via some production process",A property specializing provides that is used by the class producer and has the inverse is produced by.
product group description,Property,,Company specific description of a group of funds.,A property that is used by the class fund.
projected coupon,Property,,Anticipated amount of a future (variable) coupon amount.,A property that is used by the class projected coupon payment value.
projected date,Property,,The calendar date on which the value is project to apply.,A property that is used by the class projected value.
projected value,Property,,,A property that is used by the class bond variable coupon.
projected value determined by,Property,,,A property that is used by the class projected value.
promoted by,Property,,,A property specializing fund has related party that is used by the class fund.
property a v m confidence interval_cd  (please review),Property,,&lt;p&gt; Confidence Interval for original AVM valuation -Confidence interval for original valuation if valuation method is AVM (RR 107 ) &lt;/p&gt; &lt;p&gt; Confidence interval for current AVM valuation - List the AVM supplier's confidence value for the most recent valuation ( RR 113) &lt;/p&gt; &lt;p&gt; Property AVM confidence interval cd ( AO 126 - 127) values to be defined &lt;/p&gt;,A property that is used by the class property collateral valuation (please review).
property asset takes form,Property,,"The physical form of the Property Asset is Real Estate, also known as Bricks and Mortar.",A property specializing physical asset takes form that is used by the class property asset.
property collateral d s c rate  (please review),Property,,Debt Service Coverage Rate (DSC),A property that is used by the class loan property collateral (please review).
property collateral lien seniority  (please review),Property,,Seniority on liquidation of property.,A property that is used by the class loan property collateral (please review).
property collateral transferable  (please review),Property,,"Is property Transferability limited? For Spanish VPO loans, whether the property transferability is limited.",A property that is used by the class loan property collateral (please review).
property collateral v p o declassification date  (please review),Property,,"Time Until Declassification - For Spanish VPO loans, time (in months) until property will be declassified as VPO property Further notes: PoC SDM Data note: Converted to date for declassification to avoid dirty data (AO )",A property that is used by the class loan property collateral (please review).
property l t v_rt  (please review),Property,,"&lt;p&gt; OriginalLTV-Originator’soriginalunderwrittenLoanToValueratio(LTV).For2ndlienloansthisshouldbethe&lt;br /&gt; combinedortotalLTV. ( RR 103 ) &lt;/p&gt; &lt;p&gt; Originator’s current Loan to Value ratio (LTV). For 2nd lien loans this should be the combined or total LTV (RR 109 ) &lt;/p&gt; &lt;p&gt; Both supported as dated instances of a property Collateral valuation avoiding dirty data -Dt from ( AO 124, 125) &lt;/p&gt;&lt;br /&gt;",A property that is used by the class property collateral valuation (please review).
property lenders valuation type  (please review),Property,,The type of valuation performed at origination.,A property that is used by the class property collateral valuation (please review).
property lenders valuation_at  (please review),Property,,"&lt;p&gt; Original Valuation amount - Property value as of date of latest loan advance prior to a securitisation. Valuation amounts should be in the same currency as the loan (field 114) &lt;/p&gt; &lt;p&gt; Current Valuation Amount - Most recent valuation amount (if e.g. at repossession there were multiple valuations, this should reflect the lowest). If no update, leave blank. Valuation amounts should be in the same currency as the loan (field 114) &lt;/p&gt; &lt;p&gt; Property value at time of lastest loan advance - Property value at the time of the last advance. Valuation amounts should be in the same currency as the loan (field 114) &lt;/p&gt; &lt;p&gt; (AO 119 - 121 ) &lt;/p&gt;&lt;br /&gt;",A property that is used by the class property collateral valuation (please review).
property lenders valuation_dt  (please review),Property,,&lt;p&gt; Original valuation date - Date of latest property valuation at time of latest loan advance prior to a securitisation (RR 106) &lt;/p&gt; &lt;p&gt; Current valuation date - The date of most recent valuation ( (RR 112 ) &lt;/p&gt; &lt;p&gt; (AO 124-125) &lt;/p&gt;,A property that is used by the class property collateral valuation (please review).
protection seller payment,Property,,A payment on a CDS trade where there is a payment from Seller to Buyer.,A property that is used by the class c d s fee leg stream.
provided by,Property,,,A property that can be used by any class.
provider has identity,Property,,,A property specializing has identity that is used by the class account provider.
provides,Property,,makes something available,A property that can be used by any class and has the inverse is provided by.
provides analysis about,Property,,,A property specializing is about that is used by the class financial instrument analytical parameter and has the inverse has analytics details.
provides credit support to,Property,,,A property specializing may be subordinated to that is used by the class tranched m b s instrument and has the inverse cashflow precedence.
provides depositary service for,Property,,,A property that is used by the class fund depositary.
provides prepayment support,Property,,,A property that is used by the class agency c m o.
provides prepayment support for,Property,,,A property specializing provides prepayment support that is used by the class planned amortization class bond and has the inverse supported by.
provisions,Property,,"customizes, provides, or outfits something required for use in delivering a service",A property specializing provides that is used by the class service provider and has the inverse is provisioned by.
published by,Property,,,A property that is used by the class equity exchange published price.
publisher identity,Property,,"A publisher of information may be identified as any Business Entity, including for example specialized publishing house, ratings agency, standards body and so on.",A property specializing has identity that is used by the class publisher.
publishes,Property,,,A property specializing provides that is used by the class publisher.
publishes,Property,,prepares and issues material for public consumption,A property that is used by the class publisher and has the inverse has publisher.
purchase amount  (please review),Property,,,A property that is used by the class purchase price (please review).
purchase date  (please review),Property,,,A property that is used by the class purchase price (please review).
purchase price,Property,,The price at which the holder of the Subscription Right may purchase the underlying security.,A property that is used by the class subscription right.
purchase price,Property,,The price at which the holder of the Purchase Right may purchase the underlying security.,A property that is used by the class purchase right.
purchasing fee,Property,,Actual percentage or fixed amount of money due when purchasing fund shares Definition origin:EFAMA DD,A property that is used by the class fund subscription terms.
purports to reflect,Property,,,A property specializing reflects value that is used by the class price.
pursues goal,Property,,"The thing acts in furtherance of some goal. Editorial Note: In one sense, having, seeking or pursuing some goal is a necessary and sufficient condition of being an autonomous entity, i.e. these are defined by their having goal seeking behaviour. This is represented here by naming the relationship one of pursuing rather than merely of having. Note that this has no relation to the concept of pursuing in the sense of 'pursued by a bear', for the purposes of this ontology (the relationship between the two word senses is metaphorical). For this reason, the property is labeled 'pursues goal' rather than simply 'pursues'. Other sense exist for having a goal, for example a plan or policy, a project plan etc. may be said to have one or more goals, even though these goals are actually pursued by the organization making the plan. To accommodate this, pursues has been made a property of Independent Thing, with a restriction for Autonomous Agent to carry the sense of this thing having, as its own, the property of pursues some Goal.",A property that can be used by any class.
pursues policy,Property,,,A property that is used by the class business function referent.
put date,Property,,Date on which securities are subject to Optional or Mandatory Redemption by the bond holder.,A property that is used by the class put terms.
put frequency,Property,,Frequency of Tender or Put period.,A property that is used by the class put terms.
put warrant,Property,,"If Yes, this warrant gives the holder the right to sell the underlying security back to the issuer at a predetermined price; if No, the warrant gives the holder the right to purchase the instrument at the predetermined price (a call warrant).",A property that is used by the class warrant.
putable,Property,,Whether the holder has the right to ask for redemption of the security prior to final maturity. This instrument is not putable.,A property that is used by the class bankers acceptance.
puttable,Property,,Whether the holder has the right to ask for redemption of the security prior to final maturity.,A property that is used by the class debt instrument.
quantified raw material takes material form,Property,,"The actual numerical amount of some material, that is represented as quantified raw material.",A property that is used by the class quantified raw material.
quotation amount,Property,,"An amount quoted, which is either an upper limit to the outstanding principal balance of the reference obligation for which the quote should be obtained, or the floating rate payer calculation amount.",A property that is used by the class c d s cash settlement.
quotation method,Property,,The type of price quotations to be requested from dealers when determining the market value of the reference obligation for purposes of cash settlement.,A property that is used by the class c d s cash settlement.
quotation style,Property,,The type of quotation that was used between the trading desks in setting up the deal.,A property that is used by the class c d s fee leg stream.
quote lot size,Property,,"The number of securities against which the price is quoted. This is usually the default lot size for a given exchange, but may be different.",A property that is used by the class share price.
quote size,Property,,,A property that can be used by any class.
quote size,Property,,High Price takes into account size of quote.,A property that is used by the class high price.
quote size,Property,,Low Price takes into account size of quote.,A property that is used by the class low price.
quoted date  (please review),Property,,The date to which the quoted inflation value applies.,A property that is used by the class inflation rate value (please review).
quoted ex dividend,Property,,Whether or not the price is quoted ex-dividend. When a bond is said to trade ex-dividend it means that there is a period of time prior to each coupon payment during which a bond purchaser does not receive custody of the next coupon. That payment is made to the previous bond holder and accrued interest is therefore negative during the ex-dividend period.,A property that is used by the class debt security price.
quoted on,Property,,,A property specializing is published by that is used by the class exchange traded security price.
rate,Property,,Rate used for calculation of the tax.,A property that is used by the class tax rule.
rate of return,Property,,The terms of the initial price of the return type swap and of the subsequent valuations of the underlyer.,A property that is used by the class asset return stream.
rated at issue,Property,,,A property that is used by the class senior c d o tranche.
rated at issue,Property,,,A property that is used by the class mezzanine c d o tranche.
rates,Property,,"The Credit rating rates something, for example a legal entity, an instrument or some such.",A property that is used by the class investment credit rating.
rateTreatment,Property,,,A property that can be used by any class.
rating has tense,Property,,,A property specializing has tense that is used by the class rating.
ratio,Property,,The ratio of warrant units to underlying security units for delivery when the warrant is exercised.,A property that is used by the class covered warrant.
raw material is application of,Property,,"The amount of material which is identified for the purpose, identified as a kind of economic resource.",A property that is used by the class raw material.
realized as,Property,,,A property that is used by the class contractual product.
realized variance amount,Property,,"The amount to which the Equity Payment Date relates, in relation to each Equity Payment Date.",A property that is used by the class variance leg terms.
realizes,Property,,makes concrete,A property specializing applies to that can be used by any class and has the inverse is realized by.
receiver,Property,,,A property that is used by the class spot cash settlement terms.
receives,Property,,,A property that is used by the class option call transaction.
receives,Property,,,A property that is used by the class option put transaction.
reciprocal,Property,,A measure stated in terms of the recpirocal of another measure.,A property that is used by the class measure.
records employment status as,Property,,"The employment status of the person applying for the loan, e.g. employed, self-employed, unemployed.",A property that is used by the class personal loan borrower assessment information (please review).
recourse loan  (please review),Property,,The only way you get the money back in the event of default is the security. Recourse is where you still have the opportunity to go back to the borrower for the rest of the money.,A property that is used by the class loan drawdown.
redeemed equity amount,Property,,,A property that is used by the class current equity status.
redemption amount,Property,,The amountof the principal paid with this redemption payment.,A property that is used by the class redemption payment.
redemption cutoff date time,Property,,Last date/time at which an order to redeem can be given.,A property that is used by the class fund redemption terms.
redemption cycle in business days,Property,,"The last business day following the day on which a redemption order is priced (T) by which settlement will be due for orders placed with the main Fund Order Desk. Alternatively, if proceeds will be paid following receipt of written renunciation, the last business day following receipt of the relevant renunciation documentation by the main Fund Order Desk (R) by which the proceeds will be sent.",A property that is used by the class fund units settlement terms convention.
redemption dealing frequency,Property,,Frequency at which the redemptions are done.,A property that is used by the class fund redemption terms.
redemption fee,Property,,Actual percentage or fixed amount of money due when redeeming fund shares Definition origin:EFAMA DD,A property that is used by the class fund subscription terms.
redemption form,Property,,Physical written instruction/renunciation form for redemption of units/shares by the investor.,A property that is used by the class fund redemption terms.
redemption in amount allowed,Property,,Whether redemptions in amount are allowed.,A property that is used by the class fund redemption terms.
redemption period,Property,,"Specific period, eg, for some guaranteed funds, during which the units/shares may be redeemed.",A property that is used by the class fund redemption terms.
reference,Property,,Textual reference to the document and section that contains the rule.,A property that is used by the class f r n date rule.
reference,Property,,,A property that is used by the class date determination.
reference contact information  (please review),Property,,contact information on file for the references taken up on the potential borrower(s).,A property that is used by the class personal loan borrower assessment information (please review).
reference factor has value,Property,,,A property that is used by the class reference factor.
reference rate,Property,,Is actually a price of something.,A property that is used by the class commodity forward contract.
references,Property,,,A property that is used by the class better or worse of assets payout commitment.
references yield of,Property,,,A property that can be used by any class.
refers to,Property,,,A property that is used by the class equities statistical price.
refers to,Property,,,A property that is used by the class spot settlement commitment.
refers to,Property,,,A property that is used by the class mid price.
refers to,Property,,,A property specializing is spread between that is used by the class debt margin spread.
refers to,Property,,,A property specializing is between that is used by the class bid ask spread.
refers to,Property,,,A property that is used by the class options theta.
refers to,Property,,,A property that is used by the class equivalent life analytic.
refers to,Property,,,A property specializing is spread between that is used by the class debt margin spread.
refers to,Property,,,A property that is used by the class modified duration analytic.
refers to,Property,,,A property that is used by the class mid price.
refers to,Property,,,A property that is used by the class options vega.
refers to,Property,,,A property specializing specifies index parameter that is used by the class inflation bond principal repayment terms set.
refers to,Property,,,A property specializing is between that is used by the class bid ask spread.
refers to,Property,,"the relationship between a reference and the concept it stands for or refers to, i.e., the referent for that reference",A property that is used by the class reference.
refers to  (please review),Property,,,A property that is used by the class credit index reference constituent (please review).
refers to credit rating,Property,,,A property that is used by the class algo debt credit spread.
refers to market,Property,,,A property that is used by the class market price.
refers to maturity,Property,,,A property that is used by the class algo debt credit spread.
refers to value of  (please review),Property,,,A property that is used by the class loan application borrower assessment information.
reflects,Property,,,A property specializing purports to reflect that is used by the class e t option premium.
reflects value,Property,,,A property specializing expresses that is used by the class price.
registers,Property,,links a registration authority to something it registers,A property that is used by the class registration authority.
registration date,Property,,The date at which the fund is legally approved in a country other than the country of origin.,A property that is used by the class fund.
regular call frequency,Property,,the frequency of the periods in which redemption is scheduled to occur per year,A property that is used by the class parametric call schedule.
regular period days,Property,,Number of days in coupon period in the series.,A property that is used by the class coupon regular period length.
regular period duration,Property,,,A property specializing has period duration that is used by the class coupon periodic date series.
regulates,Property,,"governs or directs according to rule or law, typically an industry, organization, or product",A property specializing governs that is used by the class regulatory agency.
regulates  (please review),Property,,,A property that is used by the class loan regulatory requirement (please review).
reinvestment frequency,Property,,"For units where there is Reinvestment distribution, the frequency with which the reinvestment takes place (this will be the same or less frequently than the Dividend Payment Frequency), otherwise this fact does not apply.",A property that is used by the class fund reinvestment policy.
rel-isOf,Property,,,A property that can be used by any class and has the inverse has.
relate to,Property,,,A property that is used by the class fund subscription terms.
relates employment status,Property,,Employment Status; Employment status of (the primary) applicant.,A property that is used by the class personal dated facts (please review).
relates to,Property,,,A property that can be used by any class.
relates to,Property,,,A property that is used by the class debt instrument.
relates to,Property,,has a logical or causal connection with,A property that can be used by any class.
relation,Property,,"The Relation at the center of the Formula, usually 'Equals'.",A property that is used by the class formula.
relative determination method,Property,,'A reference to a notional amount determination method defined elsewhere in this document.',A property that is used by the class correlation leg terms.
relative notional amount,Property,,A notional amount specified by reference.,A property that is used by the class correlation leg terms.
relative to,Property,,,A property that is used by the class credit spread.
relative to,Property,,,A property that is used by the class relative time.
renegotiable  (please review),Property,,Whether the terms for payment of interest can be renegotiated during the life of the loan.,A property that is used by the class loan interest payment terms.
renegotiable  (please review),Property,,,A property that is used by the class loan variable interest payment terms.
repayment date,Property,,The date the loan was deemed to be repaid.,A property that is used by the class repaid loan.
report author business organization,Property,,,A property that is used by the class report document.
repossession history  (please review),Property,,Whether the potential borrower has a history of repossession.,A property that is used by the class loan application borrower assessment information.
repossession history  (please review),Property,,If yes: Will be more facts to be determined.,A property that is used by the class borrower ongoing dated facts (please review).
repossession history  (please review),Property,,Whether there is a history of prior repossessions resulting from the borrower defaulting on a previous mortgage loan.,A property that is used by the class personal dated facts (please review).
represents,Property,,,A property that is used by the class stock balance.
represents,Property,,relates some textual or other symbol or some set of words to some concept that has the sense or meaning the representation is intended to convey,A property specializing refers to that is used by the class reference and has the inverse has representation.
represents amount of,Property,,,A property that is used by the class cash balance.
represents an interest in,Property,,"Equity always represents an interest in some business organization. This is the organization, company or venture in which the holder of the equity has a stake in by virtue of holding that equity",A property that is used by the class equity.
represents lien on  (please review),Property,,,A property that is used by the class loan property collateral (please review).
represents monetary amount,Property,,,A property that is used by the class cash balance.
represents risk of  (please review),Property,,,A property that is used by the class credit index (please review).
repurchase agreeement has lender,Property,,,A property that is used by the class repurchase agreement.
repurchase agreement has borrower,Property,,,A property that is used by the class repurchase agreement.
requested by,Property,,,A property that is used by the class request.
required days notice,Property,,The number of days notice to be given for a change in the given kinds of details.,A property that is used by the class master agreement change notification obligation.
requirement act reference  (please review),Property,,,A property that is used by the class loan regulatory requirement (please review).
requirement section and paragraph  (please review),Property,,,A property that is used by the class loan regulatory requirement (please review).
reset date offset days,Property,,"Number of days from the Coupon Payment Date that the Coupon Rate is reset. Offset - Relative date e.g. 2 days before Rate rest may be the Fixing date. Payment is separate from this, so this is an Accrual term. Payment dates may also be specified relative to.",A property that is used by the class bond variable coupon terms set.
reset day and month,Property,,,A property that is used by the class floater tranche.
residency period  (please review),Property,,Period in which borrower is resident of the country - where the loan property is located.,A property that is used by the class personal loan borrower assessment information (please review).
residential  (please review),Property,,Whether the boat is intended to be used and is legally able to be used as a place of residence.,A property that is used by the class marine finance (please review).
responsible for,Property,,,A property that is used by the class paying agent.
restricted,Property,,Yes = Restricted; No = Free.,A property that is used by the class limited partnership unit restriction.
restriction applies in,Property,,,A property that is used by the class legal restriction.
restriction applies in,Property,,,A property that can be used by any class.
restricts,Property,,,A property that is used by the class restriction.
restricts activity,Property,,,A property specializing restricts that is used by the class restriction.
results in,Property,,,A property that is used by the class Measurement Procedure.
results in  (please review),Property,,,A property that is used by the class property purchase and sale (please review).
results in  (please review),Property,,,A property that is used by the class property valuation (please review).
results in measured value,Property,,,A property that is used by the class Monetary Valuation Procedure.
retained until  (please review),Property,,Date when the retained amount is to be drawn by.,A property that is used by the class loan retained amount.
reverts,Property,,,A property that is used by the class non agency regular jump z tranche.
reverts on,Property,,,A property that is used by the class agency regular jump z.
revolving,Property,,Feature whereby the principal can go up or down. This means that the loan could pay down principal or add principal to it.,A property that is used by the class credit card pool.
right to retain,Property,,Whether the holder has an option to retain the security in the event of an issuer exercising the put option.,A property that is used by the class put terms.
risk level  (please review),Property,,,A property that is used by the class loan standardization documentation.
rolling frequency,Property,,"In principle they can be rolled on any agreed basis. Usually no firm idea on when the parties want to settle, will hold untilo they feel like terminating, nbut there's no reason why this might not be made weekly or monthly.",A property that is used by the class contract for difference.
rounding convention,Property,,The rounding convention used in the calculation method.,A property that is used by the class yield calculation method.
rounding decimal places,Property,,Number of decimal places to round to.,A property that is used by the class base.
rounding direction,Property,,,A property that can be used by any class.
rule direction,Property,,The direction in which the rule is to be applied to the date returned by the Date Roll Rule.,A property that is used by the class modify convention roll rule.
